sku	asin	price	quantity
57533912Hong Kong	1847327397	14.84	26
57733914China	1847322018	13.36	81
57833915China	1847322123	15.14	6
57933918USA	0738213985	16.62	10
5812202	1441305246	13.31	46
58133921Singapore	1592334253	19.17	43
58433928USA	1593598521	13.92	5
58533929Hong Kong	184732715X	14.84	49
58833935USA	1402207727	13.92	27
59033937China	1592335004	18.66	24
5912212	1402213581	15.09	6
59133938China	1631060074	17.64	13
59233939China	1592336116	18.66	17
5933397USA	0767916573	13.56	51
59433972China	1847320147	13.36	76
59633974China	1847323626	14.84	13
59734152USA	1573442801	16.11	13
59834153China	1847324118	12.29	60
599343USA	1573441589	23.51	24
60034518USA	1568583338	17.13	11
6012214	0600620824	21.21	7
6013452USA	1890159719	16.62	8
6023456USA	1569243093	18.81	28
60334561China	158333372X	21.21	21
604348USA	0939263173	14.58	16
6053482USA	0061898074	17.13	46
6063483USA	0062516140	17.13	78
6073484USA	0062513362	17.13	28
61034856USA	0425202461	15.60	10
6112215China	1592334474	17.64	25
61134858Hong Kong	1402708890	11.01	51
61234861USA	1573447110	17.64	13
61334862Singapore	1592334865	19.17	23
61534867USA	0940208350	16.62	6
61734869Poland	9186283723	13.31	8
61834910USA	1583333924	18.66	7
61934913USA	1580053386	17.13	26
62034916Singapore	1842221531	13.36	40
6212216	1844839664	13.31	66
62134919	0811847012	14.84	38
62634946Canada	0811859908	14.84	11
62734948Thailand	0811839575	13.31	239
62934954China	1604333081	13.31	26
6312217	1592409180	17.13	10
63134956USA	0897936507	17.64	30
63234964Canada	1594743363	17.13	23
63334966China	1592333931	18.15	18
63534974USA	1569759367	14.84	4
63735251USA	0446693553	16.62	9
6383526USA	0446679747	16.62	5
63935261USA	0446692433	16.62	4
6403527USA	0446677825	16.62	3
6412219	1780974450	18.66	102
6413528USA	0446677353	16.62	11
6423529USA	0446678848	16.62	10
64335291USA	0446698598	16.62	7
64435292USA	044655748X	16.62	10
64535304China	1594741484	13.36	39
65035313USA	1627780084	16.62	18
6512220	1780974353	13.31	54
65135314USA	1627780300	16.11	8
65235315USA	1627780041	16.62	30
65335316	0937609706	13.31	13
65535337USA	1573443107	16.62	13
65635338USA	1573443093	16.62	3
6593537USA	1890159387	22.23	37
6612558	158816599X	13.31	106
66135416	057803395X	18.66	50
6623542USA	1580052193	16.62	41
6633543USA	0517886073	16.11	24
66535456USA	0767926064	15.86	8
66635457USA	1590303644	17.90	3
6673564USA	0399534369	16.62	8
6683567USA	0061547336	15.60	10
6693568USA	0060989092	16.11	35
670357	0964596008	21.98	46
6743632	0743258533	18.66	11
67536322Singapore	1569756554	17.64	9
67636323Singapore	0756671477	21.21	40
67736326USA	1583333533	16.11	5
67836336USA	0060586311	20.70	23
68036338USA	1930722273	17.13	6
68136339USA	0060538260	17.13	94
68336341USA	0897935012	14.84	40
68436342USA	0756657385	17.13	3
68636344Singapore	1592335020	17.90	12
6883647USA	0425202690	17.64	3
69036491China	1847320163	13.36	55
6912562	1620873346	14.84	23
69136494Singapore	1569757291	14.58	85
69236495Singapore	1592333850	19.17	60
695365USA	0963976389	20.70	21
69636505USA	0425229831	16.11	3
69736507USA	1627780122	16.62	39
70036551USA	1573444049	16.11	11
70336574USA	1627780289	19.68	11
70436575USA	1627780378	18.66	12
71036584USA	1573446475	16.62	8
7112572	1588168786	18.66	14
715369USA	1890159352	16.11	30
7173720USA	0060928026	15.60	7
71837201Canada	1931160945	21.21	29
7193724USA	1890159131	16.88	11
72037241USA	1890159999	22.74	5
7212573USA	B009DYB6DO	34.47	25
7213727USA	1890159727	16.88	6
722373USA	1890159115	14.33	7
7233745USA	1890159190	16.88	10
72437452USA	157344779X	18.66	32
7263746Canada	0977723801	24.78	40
72837486Canada	1931160694	19.94	174
729375USA	1890159360	16.11	27
73137602Canada	1931160996	21.21	21
7323764USA	193116049X	16.88	67
7333771Canada	0970661134	15.60	39
7343772Canada	097066110X	15.09	94
7353773Canada	097066110X	15.09	56
7363774Canada	0970661126	15.09	56
73737741USA	1573442739	16.11	11
73837742Canada	0970661142	16.62	39
73937743USA	0991491424	15.86	49
74133	1562010352	13.31	24
7423865USA	1573441996	21.21	22
7433872USA	157344278X	16.11	70
74438801USA	157344720X	17.13	17
7453881USA	0812991958	16.62	25
746389USA	1587613379	17.13	39
7483901USA	157344121X	17.13	36
7493904USA	1573443980	17.13	22
75039048USA	1573443042	18.15	22
7513567USA	0345803485	16.88	231
7513905USA	1573443875	17.13	57
7523907Canada	1402205171	14.84	12
75339078Canada	1569755639	15.04	31
75439085USA	1568582951	16.62	23
7553909USA	0553381148	17.64	12
75639095USA	1569756791	15.60	8
75739100USA	1890159026	15.35	4
7613568USA	0345803493	16.88	36
76239123USA	1589860004	20.96	6
76639865USA	0452285550	16.11	14
7673991USA	1890159239	16.62	5
770401Singapore	0789404370	14.33	121
7713569USA	0345803507	16.88	110
77440252Hong Kong	1844838005	18.66	15
77540422Hong Kong	1620877988	16.11	17
77740434Singapore	0756633532	16.62	34
77940453USA	093760965X	22.74	4
78040474Singapore	0756689619	18.66	36
78140492	162914469X	21.21	20
7814300	1580052517	16.62	8
782407Singapore	0789450720	15.60	27
7844083Singapore	075660530X	17.39	23
78740921USA	1569759383	14.84	19
78840926USA	158005157X	16.11	8
78940982Canada	1569756031	13.36	55
79240986USA	0060753641	16.11	36
79440991USA	1569242763	17.13	25
79540993USA	1580050751	16.62	15
79640997Korea	1569757194	17.64	33
79740998USA	1569756252	15.60	36
79840999	0761174753	16.62	18
80041013Singapore	1592333494	17.90	79
80141018China	1402755678	10.76	3
80441029USA	0345498607	16.88	6
80641037USA	0767928210	15.09	27
80741038USA	1439190666	23.00	12
80841039USA	0743274873	17.64	7
80941040USA	1580052754	17.64	8
81041042USA	1402208944	13.31	6
81141043USA	1402206836	11.27	30
81168	1416567011	16.62	9
81241044USA	1402206828	11.27	22
81341045USA	1402201990	11.27	18
81441046USA	1402202008	11.27	33
82141072USA	160550033X	14.84	4
8216800USA	0345803671	16.88	89
82241073USA	1598699032	13.82	13
82341074USA	1440510806	14.33	37
82441075USA	1440510768	14.33	55
82541076Canada	1593374798	12.29	8
82841079USA	1440510997	14.84	3
83041085USA	1934734993	14.84	14
83149973USA	0385345224	19.17	21
8316801USA	0345804279	16.88	20
83249974	0446673544	16.11	44
83349975Korea	0743289803	16.62	5
8416802USA	0345804295	16.88	29
861706	0446610313	12.29	10
9017091USA	0446613045	12.29	9
9217093USA	0446613452	12.29	8
9317094USA	0446613096	12.29	7
9417095USA	044661310X	12.29	13
9517096USA	0446613088	12.29	7
9617097USA	0446613134	12.29	4
9817099USA	0446613126	12.29	5
9917100USA	0446612987	12.29	10
11717118USA	0446583677	12.29	0
11917120USA	0446583723	12.80	0
1231731USA	0671318195	10.62	0
13618298China	0762439998	18.66	0
14218307	1934734810	22.61	0
15518613China-2	1934429953	36.69	0
15518613China2	1934429953	42.98	0
15918711UK	0762446005	14.70	0
3643B00005UK	0762444355	14.19	0
3646B00008Singapore	1592335373	17.76	0
3656B00018Canada	161243018X	17.25	0
3671B00033USA	1573442933	21.72	0
3672B00034USA	1573447927	15.21	0
3679B00042USA	1592408257	15.21	0
3683B00046USA2	1612430155	16.70	0
3686B00049	3836539705	35.34	0
3702B00066Singapore	1592335551	19.17	0
3703B00067China	0345806751	15.98	0
3705B00069Hong Kong	1612431860	12.00	0
3712B00076USA	1573449008	16.62	0
3744B00112	0957592205	29.37	0
3752B00120	1909181080	15.72	0
42930013China	0615376630	24.78	0
43530487USA	0802122590	19.80	0
435832280USA	1627780904	16.62	0
43830948USA	1600940234	17.13	0
44130983Singapore	1592333567	13.50	0
448417123USA	0446583707	13.31	0
45432171USA	1451661231	20.31	0
458639867USA	1627780653	15.72	0
459439868	0062301527	16.62	0
4603226USA	1573442143	17.13	0
461412221	0762454717	16.62	0
463439866USA	1627780963	20.19	0
46732373USA	1573444154	14.70	0
47332384Italy	0762449446	17.64	0
47532390USA	1627780025	15.21	0
48032424USA	1573449644	15.21	0
48932501USA	1573447161	16.11	0
499118601	3836520206	14.58	0
5003255USA	1573441562	16.62	0
503812204	1943893063	17.13	0
504016804	1943893047	17.13	0
50432573	1629144762	14.84	0
51032623USA	1573441252	16.11	0
51532690USA	0446691275	18.66	0
51732698Hong Kong	1844837076	11.90	0
525017601	1451641966	65.55	0
5253274USA	1573443670	12.50	0
53732921Singapore	1592335748	19.17	0
53932951Singapore	1592333397	13.00	0
541007	0762407506	11.16	0
54833459USA	0399536493	11.90	0
55933626USA	0060539100	16.74	0
56333633Hong Kong	1847328644	15.72	0
57633913China	0740777564	13.31	0
58933936	1623260647	30.22	0
60934854Hong Kong	1844831469	17.25	0
62434943	0811856801	27.96	0
63034955China	1604334509	15.51	0
6363525China	140274238X	11.90	0
65435317USA	141620928X	13.31	0
65735347EU	0762439947	15.60	0
67236232Singapore	0756659906	18.15	0
681256	1402203527	11.64	0
6823634Korea	0939263246	16.11	0
68736352Singapore	1858688655	13.36	0
69436499USA	1402218303	13.43	0
70236573USA	1627780262	16.62	0
70536576USA	1573446521	16.11	0
716371USA	189015900X	13.17	0
72537453USA	0937609587	18.66	0
7273748USA	0897934458	17.13	0
730376USA	0965071669	15.72	0
747390USA	1573442216	17.13	0
75839117Spain	8498675693	20.82	0
75939118	6071100720	58.16	0
7653985USA	1881943224	17.64	0
76839935USA	1569758700	15.72	0
77840452China	1465402098	18.15	0
7864092Singapore	0756605261	10.00	0
79165	0671741020	10.62	0
81641060USA	089793511X	12.66	0
82041070	089793606X	16.23	0
82641077USA	144050637X	12.41	0
83449976USA	1594743061	15.09	0
9717098USA	0446613460	12.29	0
